id,fishName,rarity,baseValue,spritePath,description,region
0,불지느러미,Common,10,Assets/Sprites/Fish/firefin,작고 색이 선명한 열대 산호초 물고기,Tropical
1,해무늬,Common,11,Assets/Sprites/Fish/sunstripe,화사한 무늬가 돋보이는 작은 물고기,Tropical
2,파랑글라이더,Common,12,Assets/Sprites/Fish/blueglider,활발하게 무리를 지어 헤엄치는 물고기,Tropical
3,무지개다트,Common,13,Assets/Sprites/Fish/rainbowdart,산호초 사이를 빠르게 누비는 작은 물고기,Tropical
4,산호톱니,Common,12,Assets/Sprites/Fish/coralnibble,산호 주변에서 먹이를 찾는 소형 물고기,Tropical
5,열대섬광,Common,14,Assets/Sprites/Fish/tropicflash,밝은 색과 민첩한 움직임이 특징,Tropical
6,점무늬지느러미,Common,13,Assets/Sprites/Fish/spottedfin,작은 반점 무늬를 가진 열대어,Tropical
7,황금줄무늬,Common,15,Assets/Sprites/Fish/goldenstripe,산호초 주변의 소형 포식자,Tropical
8,꽃잎꼬리,Common,11,Assets/Sprites/Fish/petaltail,형형색색의 부채꼴 꼬리 물고기,Tropical
9,네온반짝,Common,10,Assets/Sprites/Fish/neonglint,밤에도 색이 반짝이는 소형 열대어,Tropical
10,화염지느러미,Common,12,Assets/Sprites/Fish/flarefin,화려한 지느러미를 가진 산호초 물고기,Tropical
11,모방다트,Common,13,Assets/Sprites/Fish/mimicdart,주변 색과 비슷하게 위장하는 작은 물고기,Tropical
12,줄무늬무용수,Common,14,Assets/Sprites/Fish/stripeddancer,빠르게 움직이며 군무를 이루는 물고기,Tropical
13,구리빛반짝,Common,12,Assets/Sprites/Fish/coppergleam,구리색 광택이 나는 열대어,Tropical
14,진홍번쩍,Common,15,Assets/Sprites/Fish/crimsonblink,작지만 강렬한 색상을 가진 물고기,Tropical
100,등불섬광,Rare,45,Assets/Sprites/Fish/lanternflare,빛을 내는 포식자 작은 열대어,Tropical
101,파도타기,Rare,50,Assets/Sprites/Fish/waverider,산호초를 유영하며 먹이를 찾는 물고기,Tropical
102,프리즘블레이드,Rare,55,Assets/Sprites/Fish/prismblade,날카로운 움직임과 화려한 색을 가진 열대 포식자,Tropical
103,네온스파이크,Rare,48,Assets/Sprites/Fish/neonspike,무리 지어 사냥하는 활발한 물고기,Tropical
